connection_count,destination_server_reset_error_rate,destination_host_count,reset_error_rate,destination_different_server_rate,destination_server_syn_error_rate,destination_server_different_host_rate,server_syn_error_rate,destination_reset_error_rate,server_request_count,destination_host_server_count,destination_same_server_rate,different_server_rate,destination_same_source_port_rate,same_server_rate,fragment_errors,server_different_host_rate,protocol_udp,connection_status_RSTO,connection_status_RSTR,connection_status_S0,connection_status_S1,service_type_IRC,service_type_Z39_50,service_type_bgp,service_type_courier,service_type_ctf,service_type_daytime,service_type_discard,service_type_domain,service_type_eco_i,service_type_ecr_i,service_type_efs,service_type_exec,service_type_ftp_data,service_type_gopher,service_type_http_443,service_type_imap4,service_type_iso_tsap,service_type_klogin,service_type_ldap,service_type_link,service_type_login,service_type_mtp,service_type_name,service_type_netbios_ssn,service_type_netstat,service_type_nnsp,service_type_nntp,service_type_other,service_type_private,service_type_smtp,service_type_ssh,service_type_sunrpc,service_type_supdup,service_type_systat,service_type_telnet,service_type_urp_i,service_type_uucp,service_type_uucp_path,service_type_vmnet,class
2,0.01,87,0.0,0.0,0.0,0.0,0.0,0.01,2,87,1.0,0.0,0.01,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
242,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,6,6,0.02,0.07,0.0,0.02,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
234,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,16,12,0.05,0.06,0.0,0.07,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
140,0.0,255,0.0,0.08,1.0,0.0,1.0,0.0,1,1,0.0,0.06,0.0,0.01,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
126,0.0,255,0.0,0.07,1.0,0.0,1.0,0.0,11,11,0.04,0.06,0.0,0.09,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
511,0.0,255,0.0,0.04,0.0,0.0,0.0,0.0,511,145,0.57,0.0,0.57,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
22,0.0,255,0.05,0.05,1.0,0.0,0.89,0.0,9,28,0.11,0.23,0.02,0.36,0,0.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
208,0.0,255,0.0,0.06,1.0,0.0,1.0,0.0,8,8,0.03,0.06,0.0,0.04,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anomaly
1,0.0,2,0.0,0.0,0.0,0.5,0.0,0.0,5,22,1.0,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
147,1.0,255,1.0,0.06,0.0,0.0,0.0,1.0,18,18,0.07,0.05,0.0,0.12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anomaly
